Yaml file that si going to be executed : allreduce-one-node.yaml

# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.27              0.26              0.29       10000              0.23              0.27              0.30
2                       0.49              0.44              0.54       10000              0.39              0.45              0.56
4                       0.40              0.39              0.40       10000              0.37              0.41              0.45
8                       0.24              0.24              0.24       10000              0.23              0.26              0.28
16                      0.27              0.26              0.28       10000              0.24              0.28              0.72
32                      0.26              0.24              0.27       10000              0.24              0.27              0.38
64                      0.27              0.26              0.27       10000              0.25              0.28              0.30
128                     0.27              0.26              0.28       10000              0.25              0.29              0.31
256                     0.30              0.29              0.30       10000              0.27              0.30              0.34
512                     0.46              0.45              0.47       10000              0.41              0.45              0.50
1024                    0.53              0.51              0.54       10000              0.45              0.49              0.91
2048                    0.63              0.58              0.67       10000              0.53              0.57              0.62
4096                    1.10              1.10              1.11       10000              0.96              1.02              2.66
8192                    4.25              3.86              4.63       10000              3.41              3.64             18.06
16384                   5.94              5.94              5.94       10000              4.95              5.84             37.06
32768                   7.18              7.05              7.32       10000              6.28              7.39             24.92
65536                  12.56             12.49             12.64       10000             10.48             17.96             53.00
131072                 22.62             22.55             22.70       10000             15.90             34.38             74.12
262144                 39.00             38.42             39.57       10000             29.42             62.70            118.80
524288                 59.79             59.78             59.80       10000             49.51             94.78            158.69
1048576               121.93            121.80            122.07       10000             91.92            170.48            272.98
2097152               266.50            266.21            266.78       10000            223.08            399.21            785.07
4194304              1599.18           1598.21           1600.16       10000           1418.03           2437.68           5137.76
