Yaml file that si going to be executed : allreduce-two-nodes.yaml

# OSU MPI Allreduce Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.39              0.25              0.52       10000              0.24              0.30              0.41
2                       0.50              0.50              0.50       10000              0.41              0.59              0.77
4                       0.40              0.40              0.40       10000              0.37              0.41              0.48
8                       0.38              0.34              0.42       10000              0.25              0.39              0.53
16                      0.28              0.27              0.29       10000              0.26              0.29              0.40
32                      0.25              0.24              0.26       10000              0.24              0.26              0.28
64                      0.26              0.26              0.26       10000              0.25              0.28              0.33
128                     0.37              0.26              0.49       10000              0.25              0.28              0.30
256                     0.31              0.28              0.34       10000              0.27              0.30              0.33
512                     0.44              0.43              0.44       10000              0.41              0.45              0.49
1024                    0.48              0.47              0.49       10000              0.44              0.48              0.55
2048                    0.56              0.55              0.57       10000              0.53              0.57              0.60
4096                    1.06              1.06              1.06       10000              0.95              1.00              1.05
8192                    3.69              3.34              4.05       10000              3.45              3.59              8.47
16384                   5.50              5.49              5.50       10000              5.04              5.37             20.54
32768                   7.33              7.31              7.34       10000              6.80              7.27             24.05
65536                  12.85             12.78             12.93       10000             10.28             16.75             47.17
131072                 19.50             19.49             19.51       10000             15.69             30.01             63.60
262144                 31.68             31.67             31.70       10000             29.50             47.34             72.97
524288                 68.74             68.00             69.47       10000             50.86             98.41            156.84
1048576               109.22            108.67            109.77       10000             95.47            153.98            223.01
2097152               244.64            244.44            244.84       10000            225.64            327.12            443.98
4194304              1488.28           1487.23           1489.34       10000           1370.00           2048.16           2976.39
