Yaml file that si going to be executed : bcast-one-node.yaml
Yaml file that si going to be executed : bcast-one-node.yaml
Yaml file that si going to be executed : bcast-one-node.yaml

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.46              0.18              0.74       10000              0.37              0.50              0.66
2                       2.33              0.23              4.43       10000              0.39              0.59              0.77
4                       0.50              0.23              0.78       10000              0.37              0.50              0.71
8                       0.52              0.26              0.78       10000              0.37              0.54              0.86
16                      0.84              0.27              1.40       10000              0.36              0.49              0.59
32                      0.54              0.31              0.76       10000              0.40              0.47              0.54
64                      0.57              0.37              0.77       10000              0.40              0.47              0.54
128                     1.23              0.84              1.63       10000              0.41              0.48              0.56
256                     0.50              0.30              0.70       10000              0.42              0.51              0.64
512                     0.77              0.66              0.88       10000              0.64              0.78              1.05
1024                    0.85              0.69              1.02       10000              0.64              0.81              1.88
2048                    1.10              0.89              1.31       10000              0.80              0.99              1.87
4096                    3.66              3.41              3.90       10000              2.94              4.59             17.40
8192                    4.46              3.96              4.97       10000              3.33              4.02             26.50
16384                   5.07              4.82              5.32       10000              4.06              5.35             28.21
32768                  13.52             10.17             16.87       10000              5.43             11.15             79.03
65536                  26.14             19.36             32.92       10000              8.26             18.83            102.83
131072                 22.55             21.04             24.05       10000             15.05             38.55            128.64
262144                 48.92             41.05             56.79       10000             27.49             89.51            294.33
524288                 77.75             72.72             82.77       10000             52.29            147.73            321.30
1048576               168.30            153.23            183.37       10000            122.08            270.43            605.62
2097152               313.29            301.77            324.82       10000            247.65            493.35           1079.00
4194304               720.16            691.29            749.03       10000            573.62           1118.91           3773.34
