Yaml file that si going to be executed : bcast-two-nodes.yaml

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
1                       0.46              0.21              0.71       10000              0.39              0.62              1.42
2                       0.51              0.23              0.78       10000              0.40              0.63              1.29
4                       0.75              0.21              1.29       10000              0.39              0.63              1.42
8                       0.44              0.20              0.67       10000              0.38              0.57              1.16
16                      0.57              0.22              0.93       10000              0.37              0.57              1.36
32                      0.41              0.19              0.63       10000              0.36              0.48              1.07
64                      0.38              0.18              0.59       10000              0.35              0.45              0.90
128                     0.44              0.19              0.70       10000              0.40              0.49              1.29
256                     0.47              0.22              0.73       10000              0.42              0.56              1.57
512                     0.73              0.64              0.83       10000              0.65              0.82              2.99
1024                    0.74              0.60              0.88       10000              0.61              0.72              2.63
2048                    0.89              0.76              1.02       10000              0.78              0.91              3.26
4096                    3.43              3.26              3.60       10000              2.98              4.08              8.49
8192                    4.86              4.51              5.21       10000              3.38              4.39             12.60
16384                   8.23              7.56              8.90       10000              5.06              9.42             40.42
32768                   9.71              8.20             11.22       10000              7.74             11.89             45.66
65536                  13.32             12.69             13.96       10000              9.82             21.14             64.26
131072                 26.59             26.13             27.04       10000             22.67             45.48            105.99
262144                 39.86             38.18             41.53       10000             36.59             68.69            139.08
524288                 76.01             72.46             79.56       10000             70.06            119.67            207.35
1048576               140.41            132.98            147.85       10000            121.79            217.76            337.48
2097152               307.72            296.26            319.18       10000            260.98            442.14            934.73
4194304               661.03            646.73            675.33       10000            573.02            922.25           2267.31
