Yaml file that si going to be executed : p2p-one-node.yaml
# OSU MPI Latency Test v7.3
# Size          Latency (us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
# Datatype: MPI_CHAR.
1                       4.88              0.37              0.44              0.64
2                       0.77              0.32              0.42              0.60
4                       1.20              0.33              0.45              0.66
8                       7.83              0.38              0.54              0.93
16                      0.57              0.34              0.44              1.22
32                      1.43              0.35              0.46              0.95
64                      0.93              0.35              0.41              0.81
128                     0.78              0.37              0.46              1.19
256                     0.45              0.39              0.46              0.74
512                     0.73              0.56              0.65              1.55
1024                    3.61              0.53              0.75              2.33
2048                    3.26              0.71              1.06              4.81
4096                    3.66              2.91              4.15             22.55
8192                    6.09              5.01              5.72             47.74
16384                   6.07              4.48              6.90             44.70
32768                  14.06              6.67             20.24             79.19
65536                  16.52             10.19             39.00            109.67
131072                 38.28             17.26             73.91            220.06
262144                 46.34             28.09             90.50            181.86
524288                 91.18             60.72            156.03            454.89
1048576               188.04            128.36            303.46           1252.15
2097152               398.48            308.38            623.79           2383.12
4194304              1159.14            919.11           1960.57           6464.41
