Yaml file that si going to be executed : p2p-two-nodes.yaml
# OSU MPI Latency Test v7.3
# Size          Latency (us)  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
# Datatype: MPI_CHAR.
1                       0.42              0.32              0.43              0.85
2                       0.37              0.31              0.43              1.10
4                       0.40              0.32              0.47              1.14
8                       1.49              0.41              0.55              1.20
16                      2.03              0.43              0.52              0.74
32                      0.69              0.43              0.55              1.15
64                      0.41              0.37              0.39              0.42
128                     2.60              0.48              0.59              0.95
256                     0.52              0.40              0.58              0.79
512                     0.78              0.58              0.73              1.92
1024                    0.82              0.71              0.83              2.26
2048                    1.04              0.67              1.04              2.83
4096                    4.58              2.99              5.16             21.85
8192                    4.43              3.45              6.41             24.42
16384                   7.59              6.00              9.57             43.50
32768                   8.80              6.04             10.19             39.25
65536                  12.17              8.11             21.88             49.21
131072                 25.61             20.54             42.26             83.25
262144                 45.26             32.15             67.25            110.80
524288                 84.94             73.26            128.11            232.53
1048576               156.48            142.35            226.65            379.48
2097152               346.90            292.48            483.56           1346.68
4194304               902.16            803.22           1205.47           3314.65
